,stars
3791872,3
4905421,4
4312114,3
1895019,4
53551,4
2355078,5
2640759,4
1518146,1
336165,1
443336,5
2112487,5
3954489,5
2082554,1
980894,1
2096011,1
548625,5
258452,4
5061873,4
3150058,2
4760276,4
4784607,1
4378615,5
3323505,1
4330634,5
4246618,2
1983507,5
4782912,3
1475960,4
652764,5
4557623,5
1980998,5
265875,1
3692971,5
45724,5
4295893,5
2818347,5
339854,2
189668,5
4408823,4
2141150,2
1941227,4
2282895,5
3339999,4
2779471,2
457164,4
4715362,4
1993775,3
1218672,5
4260566,1
4737689,4
592355,2
1746197,3
1908122,5
1497354,1
3022359,3
2889026,2
4081294,2
2680670,5
3958952,1
4498179,4
1327580,4
637867,5
4282718,5
2816135,2
3377484,1
2251052,5
592322,3
3340818,4
4207505,5
2328090,5
664739,5
325774,5
602479,5
29920,1
942948,4
4577625,3
2049636,3
403158,5
4590383,3
3226547,3
142477,5
1953074,5
946012,2
384268,4
2070554,5
2384722,4
4779137,4
2267864,2
94886,4
4954885,5
3339086,3
4918170,5
162396,4
364547,2
4838902,4
1511320,5
2190212,5
2165258,1
2695813,3
1665583,3
186513,5
3625394,1
4707466,5
4449421,5
2975399,3
1520937,4
4732982,4
2842413,1
4115361,5
3503611,1
2661492,4
4082366,5
4777376,1
1574065,5
2837680,5
5126561,4
2124944,5
4750772,5
4734422,1
5230375,2
297526,1
3510178,1
1415139,4
64121,5
37775,4
1618859,3
2277379,2
1698972,3
405187,1
5072131,5
1043221,4
2187466,5
2073710,1
3670182,5
2500203,4
4490617,3
1164588,1
1190453,3
3476131,2
4416636,1
1027873,4
3335855,5
759271,5
1032655,5
2596072,4
247180,1
3587541,3
3831761,3
3884798,1
1199407,4
2923739,2
2788310,5
3380800,5
2829745,3
303883,1
1380426,5
2155290,5
510110,5
2716549,2
3768099,4
2538674,5
4686649,5
3664454,4
898658,3
4042664,3
5201313,1
1559648,5
128332,4
4203673,5
1839437,4
984906,4
1341375,5
2570620,4
1470679,1
1094834,1
2513977,5
1743802,2
3190512,3
5100566,1
2799387,5
3491545,5
4242688,3
87854,4
4542642,3
1571033,1
133710,5
5050545,5
2140621,3
2040376,4
5097896,1
1494059,5
2960956,5
4001763,5
5078170,3
3066779,1
4651763,3
4929396,5
432324,1
312209,5
1910516,3
4671324,4
1204149,5
291875,1
1700977,4
4496303,2
5226898,1
738332,4
2362208,5
909220,4
4813884,1
292959,5
3339430,4
1021174,4
3192878,2
1991510,1
670520,5
4762240,5
4839853,4
4502859,4
3329350,5
785720,5
3731272,4
3608190,5
2301334,1
404870,5
789227,5
1609317,4
2892049,4
2073934,1
2326655,2
3926183,3
440423,3
4443802,1
2032796,3
3776242,1
3249532,5
5148348,4
1631112,4
3517949,4
1395854,5
630360,4
953740,4
514293,3
5178395,4
836890,2
2254759,5
2243860,4
3675244,5
1715252,4
4437838,4
3708819,2
1014234,5
3738487,5
250113,4
4124982,3
521604,1
2857861,1
4367164,5
299672,5
3742774,1
4182040,4
4052541,1
4223523,1
4101789,5
5014777,2
3166938,5
468971,1
1323775,5
740374,5
1518213,1
5004285,5
4586458,5
4288094,1
67515,4
1101097,5
2355718,5
1429331,1
1431623,5
1110736,4
2941449,2
1838275,5
3760923,5
3724428,5
3046399,4
1881148,5
3542430,5
2300436,4
3536624,3
1255051,3
966989,4
1678889,3
5205577,5
151596,5
1681730,5
4119823,1
207941,5
4131742,4
4429104,5
1111517,5
3768959,4
2384369,5
866959,4
4004819,4
2913810,5
1445438,4
4512705,4
5260284,3
4190494,2
1089112,4
2375257,3
1379036,4
102098,4
5095010,5
3457998,1
163621,2
4187117,1
3680838,5
2454169,5
2086874,5
549414,5
611786,2
2487578,5
3448323,4
25134,4
2897806,4
4376870,3
3153760,3
558456,5
1929788,5
1213434,5
4100813,5
2125882,3
1925328,5
3756253,5
5154781,5
3733071,5
2860681,1
2388700,3
1261822,5
3031993,3
2428262,2
1732397,5
5170835,1
4787405,1
3434183,4
3468860,1
1564792,3
2471766,5
514616,3
2933736,5
4956803,3
1201140,3
4867264,5
2198459,1
1015973,4
1380118,1
4632472,4
5107520,5
4752827,3
2304240,5
877035,2
560935,5
3763990,5
3320046,5
2965315,3
3875644,1
695330,4
3898340,5
2001379,5
3951653,5
2523193,2
3155741,5
2590084,3
644249,5
4125726,4
432987,3
4873248,2
3274699,4
3217324,5
4880052,5
1230350,4
4326528,5
1561695,4
2943881,4
4494657,3
2633039,3
803464,5
1045065,5
73855,2
1900116,1
312018,5
4993911,2
4757177,4
1338126,5
1111243,2
619035,5
2488799,2
1961499,4
4623380,5
2250254,1
777970,1
4645690,5
4755049,5
4279053,5
4981307,3
3334183,5
2968588,5
2997470,5
3652475,1
5213409,3
2920040,5
1390299,3
887436,5
2585674,4
2397232,1
2693804,5
1380330,5
3250610,5
202243,4
1485719,4
1391628,3
2458223,4
652112,5
2560828,4
2606292,2
377907,5
4840763,1
4041383,5
559486,5
2515477,5
104690,5
2697992,4
4266516,2
978603,4
1943015,3
2169763,3
4523695,4
3476336,2
5055479,2
1144219,5
3373015,5
1970193,5
3072355,5
1768785,5
3205701,2
4190863,5
4071913,5
2029686,1
3779232,5
2756831,3
890944,4
737910,4
4291743,5
1545525,4
2908207,5
655312,3
2217272,5
868004,1
3823000,3
3827126,1
3492696,5
3265370,5
45629,4
2538494,4
1553724,5
3194239,3
3553198,1
5174083,2
3037970,4
3243464,4
3032083,5
2187323,5
4769365,5
5215543,5
2675351,4
476658,4
3326287,1
3906168,5
1487493,5
3525712,5
2104603,4
5081343,3
411241,5
36267,4
2486198,5
4852169,1
2504993,5
994924,5
829809,4
3014670,5
2663747,5
4775461,5
5150148,3
4600329,1
2544440,3
1229652,5
494971,3
3813048,1
1663374,2
2541083,1
3203689,1
2945382,5
1012543,4
1650336,5
2128677,5
3210324,4
676199,5
2695469,1
2270583,4
5150753,3
2395482,5
3906712,5
4438408,2
3673132,5
1672605,1
2665518,3
2589633,1
1949623,5
2767085,5
3865235,5
3632994,5
4724199,5
4007818,5
806151,5
1232913,5
313822,5
4712399,2
2446628,5
3420293,3
3439120,4
5013809,4
4967444,5
879367,5
2900161,5
4305784,4
3393277,5
4383518,5
1634876,4
1622771,1
1926041,5
5200153,5
232557,1
4358912,5
2980154,4
2197964,5
2631099,2
4919773,5
4273705,5
1950990,2
2173152,3
604848,1
5160352,3
64382,5
3904164,5
3894923,1
3207397,5
4721471,3
3846384,1
1989054,2
954643,2
3645255,5
224689,3
3156599,5
4193854,1
2658049,5
470771,4
4781859,4
2049002,5
2461982,1
1907929,5
4078842,5
2999870,2
3006037,5
3950814,5
4851211,5
2300237,4
1479431,3
1756389,2
4942974,5
2185657,1
2347813,1
4275515,4
1270510,3
5123253,5
1244896,4
3285966,5
4490808,4
4543057,5
1350438,1
2156641,3
2203046,5
1525747,5
3609650,4
286238,2
633198,5
1297346,5
2544205,3
737344,5
580725,5
4899904,5
1385630,1
5222516,5
4204845,3
2582902,5
499957,5
998918,3
4291757,4
1728905,1
1537918,3
4687805,1
4642623,4
2286687,5
2607964,4
3156140,2
6396,5
285000,5
672891,1
3786234,5
999305,4
2216513,5
4397466,4
3080640,4
2502904,2
3591082,3
3850088,5
2101835,5
4469910,5
3899045,5
588745,4
4146018,5
4683253,1
2252677,3
3559669,5
4659428,4
134783,4
720529,3
4116279,1
1626357,4
969710,3
24287,5
3922834,5
1795492,5
1921131,1
1362688,5
5058174,4
4547803,5
894890,4
3636454,5
629147,5
879067,4
1744794,1
4545014,4
3043958,4
1720741,4
1469550,4
3923627,1
3398378,1
2431399,3
1683737,1
3791796,5
2959556,4
715924,2
4227638,4
3338340,5
605174,5
2276990,5
2110751,5
3874286,3
5030375,4
516049,5
2316103,3
3779684,5
2420171,3
3424788,1
3891801,1
1430604,4
5036628,2
2883267,5
171785,2
162654,1
2522210,5
941094,1
448567,4
3219687,5
2129891,3
557145,4
5239351,4
1217108,3
5221557,3
2989879,5
4395487,4
505279,5
1800175,4
5133682,5
4503626,5
3693569,1
21031,5
2559936,4
2148780,3
3808759,4
4200708,2
2379415,1
811440,5
3356944,1
4100184,4
2438874,4
725228,3
4914750,5
5214753,4
4588965,1
4003368,5
3739568,4
2469248,3
4685091,5
1987573,4
1347640,5
480789,5
3692089,5
2708049,3
4374890,5
939947,4
865273,1
5177533,2
3586698,5
709208,1
195675,5
1687732,4
1945600,4
33708,5
122700,1
5219198,5
2671362,5
4264004,2
135763,5
1278139,5
2924504,1
3545798,5
343302,2
1839227,5
3907053,5
3743589,4
511300,5
2530382,5
66788,1
3956223,5
4692801,5
3902984,5
4474067,5
2795288,5
599073,2
4740625,3
1820163,5
1101695,5
1079077,3
4384614,3
3839467,5
1784353,1
4087320,1
1970057,2
3235921,2
4468023,2
2759230,5
992399,2
2700926,5
3809139,4
3902045,5
2541787,4
3858362,5
1878956,5
1805560,4
597310,4
1792695,4
361816,4
1412660,4
4696149,1
2816906,5
397613,1
652625,2
522825,2
4845073,5
655423,5
1114702,5
3718282,5
3111186,5
2692175,3
3627420,3
5215212,1
3585938,5
5100358,1
1607266,1
584787,2
1540124,4
2527596,5
4914801,3
2581017,2
2777453,5
120667,5
3385747,3
2857914,3
535318,5
1040878,4
3520817,2
491517,4
1713713,1
4789719,5
375242,5
3152131,4
152055,3
3705077,3
2423097,3
2097685,1
1110119,1
822376,3
3209489,5
666273,2
3288381,3
342077,5
2668899,5
2271659,2
4315443,5
3235403,3
268009,5
4240740,5
3599543,4
492915,5
62339,4
965804,4
4802801,4
1419407,1
65387,4
3244815,5
665718,5
2370152,2
2524669,1
2769975,1
2708032,1
4090855,4
3169148,4
3533590,2
3354303,5
2260446,4
4206412,4
12039,1
1886225,1
4628497,5
1706655,4
758829,5
1406043,5
418364,4
189004,5
1489960,5
1791119,5
966733,4
843375,5
2486029,5
2485854,1
3254650,1
3202753,5
5066176,5
4033352,5
3096847,4
3642317,5
4529053,5
2382227,3
2445904,5
5041701,3
5215904,1
3077851,5
3905663,5
2192400,5
2246993,4
4405346,5
3540786,4
4519317,5
4990688,3
1470805,3
1643295,5
606322,5
3496771,5
2693802,5
928775,5
3695220,5
1554719,5
5079752,5
976764,5
5053442,4
2717881,5
2970394,3
2159821,3
3861042,2
1659185,5
291376,5
1771477,5
1635798,5
2061250,1
2763605,4
35527,4
5027973,5
2482846,5
1069893,4
2037372,4
969000,1
519602,4
1466622,3
4526317,4
5061621,5
2019182,1
4298807,5
3465343,5
1353323,4
4678383,5
1156218,5
1435338,2
3030940,5
71995,1
432873,4
4871135,2
1188085,4
1909910,5
4508398,2
4816091,1
1721251,5
2683695,2
3714789,5
4433990,5
3213330,5
549069,5
1891847,5
1850032,3
2921348,5
115242,2
2831340,4
2394666,5
4666940,3
4659945,5
3275973,5
4085047,3
2557705,4
4979750,5
4856495,3
1729657,5
2256209,4
3308781,4
2033640,3
4131678,4
303679,4
52985,2
1490573,5
1212060,5
2361719,5
217425,5
1342781,5
734272,2
5127930,3
97534,5
4883063,4
3616109,5
4981774,2
492202,3
3579149,5
3541307,5
1796383,5
3946482,4
3422245,5
1666744,5
7069,5
4279616,5
218280,5
295231,5
488408,2
1423189,4
792842,5
787849,1
335360,5
3455493,5
919542,2
1047769,5
1672476,3
4559329,3
1898870,3
3315332,4
5118775,3
3868000,5
2498043,5
1208550,4
2237232,2
4397128,5
2119484,4
4041108,5
1274247,5
2904097,5
1049106,4
2973926,2
4026174,2
2770833,1
2744858,4
138020,1
4798124,4
1016906,5
2409839,1
141080,3
2048905,4
2400447,4
4942465,5
3104886,4
4624433,5
4944633,4
251081,1
4385427,5
4775739,5
1657036,3
4746397,1
860290,1
4426172,5
1694929,5
19106,1
839088,1
222569,1
2819887,5
2200583,3
2206618,4
3459031,4
4391982,5
2605173,2
4008918,5
5147742,1
2501767,3
449519,2
3761200,5
1854047,5
3335223,1
5117445,5
4525611,4
4964852,5
352262,5
2818385,5
1889135,2
3076137,2
4431052,4
768799,5
3323991,4
4353250,3
2177541,4
4298859,4
4521614,3
4091527,3
2035896,5
1817507,5
35187,4
905625,5
2124105,5
4023773,4
2422128,3
3182055,3
3402617,3
2622514,5
2909540,3
3262411,4
2412779,5
1432205,4
782866,3
4198262,5
1918797,5
4785473,5
3676391,5
3697345,3
2261769,5
2395167,1
1505972,5
2202903,2
2413553,3
1215067,5
1269801,5
599191,5
3649965,1
3243478,5
407671,1
4866685,5
1922870,2
4909770,1
2026293,4
2565021,4
4171573,5
2645787,2
1330009,1
1029347,5
3913771,5
678972,5
1039041,5
1385769,1
1692586,4
122337,4
3413432,3
4229803,5
2468072,5
3904286,1
473662,4
2614659,4
2721402,4
886796,4
3565491,5
1635860,4
212938,5
4546548,1
1204244,5
2664552,4
5078767,3
3862116,4
3257785,5
3117565,5
1379371,3
1865282,5
1929648,4
2154160,3
1316230,5
4221802,3
2854719,4
891256,1
1335982,4
1209492,5
3963749,5
2539742,1
4024583,5
897957,5
5206511,3
2345294,1
1207356,4
1167302,5
5061706,3
4028100,1
3609322,4
3017494,2
2230601,5
4847575,4
4746890,5
2401647,5
4036157,4
3417728,5
590559,4
159663,4
649047,5
247283,5
5250894,4
2726269,4
2542187,5
2545539,5
3244758,3
4182307,2
1083662,3
4483570,4
1020787,5
4463880,5
5024248,4
4659236,5
5162478,4
4218158,5
4407886,3
2207462,4
2263028,5
448691,4
2913323,5
1470955,4
4083246,4
388350,3
5204482,1
4439270,2
4363004,5
3266412,4
1693632,4
2902564,1
4808953,5
2646969,1
4912899,5
4627211,4
1247717,5
3405112,3
1414229,5
4092680,5
61140,1
1080765,5
851976,5
1122425,1
92286,5
4574734,5
2021593,5
3126466,4
1772318,3
669899,5
1060541,4
466726,5
2389574,1
2840058,5
2506113,5
3660261,4
867850,1
4352990,5
4483429,4
1826065,5
3398210,5
4491445,1
2880597,4
5159223,5
4593207,5
361930,4
208123,5
2995290,4
2192515,3
1905208,1
814597,4
128862,5
4797576,5
1528646,4
222680,5
3521009,3
886429,1
546778,4
2137372,5
1022489,4
2963439,5
3005584,4
4405350,3
5050737,5
5099622,5
1026398,1
4157713,4
3646667,1
1045300,5
2116940,5
4973294,5
4788486,1
3354063,3
4624824,3
2513177,4
4439050,1
2065117,5
4404922,5
5099005,4
3529309,1
3935591,3
4084914,3
2284362,1
3899690,4
1156246,5
4932896,2
3861497,5
1315140,4
4243394,4
210964,1
511898,3
2579918,4
553192,5
3079343,5
3536526,4
549799,2
2088986,5
4499456,4
3286309,5
2814454,5
4844923,5
1068041,4
4389573,4
1263013,4
1063695,5
1584272,1
5183287,2
3209570,5
3348910,4
4046264,4
1113755,5
572560,4
341713,1
1116892,4
591669,1
299594,5
4725065,4
1461944,5
921179,5
753319,1
4286501,5
1629677,2
597112,4
3284315,5
1915450,5
2778004,4
5227641,1
398698,5
3455656,5
2292915,5
4937728,5
1826078,4
187796,3
4934397,5
3322891,4
1479865,5
4650720,5
544815,5
2242201,5
4703329,4
1048943,3
1762630,5
2212874,5
1495281,5
3587574,5
367859,4
4304774,3
1674316,5
1458493,5
942899,4
4665255,4
597813,5
257671,5
1095968,4
4265470,5
1775704,5
2860914,5
1156030,3
3441692,5
1136658,5
4499607,5
859725,4
4485611,2
924284,4
24861,5
4836553,5
3333791,5
4457276,3
3033628,1
601318,3
312512,2
212502,4
4645920,5
4026852,5
2001742,5
4201298,4
2939316,5
2512943,4
2020944,3
4591886,1
3015659,5
2824621,2
4041890,5
5109100,4
3393528,5
2570163,5
4549615,2
3838283,4
4627387,3
4344464,4
1669568,5
2983615,4
72904,5
132070,5
4323208,4
2901421,2
954702,4
661294,2
1274329,2
724231,3
1989585,1
1758153,4
191637,1
1739450,1
796461,4
711705,3
3112386,5
1524588,1
4034422,3
2907257,5
1990093,5
1855064,3
3580960,4
4433282,4
2568186,5
1105189,2
4908316,5
1124116,1
4754877,5
1420536,5
810715,4
4699896,5
5108071,3
3045035,4
5199905,2
3707679,4
2795614,4
914066,5
203818,5
4533498,5
2007990,5
2979840,5
2322036,3
663026,5
5249153,1
2786283,1
1799343,5
1131793,4
2693652,4
2043206,5
4974480,5
765921,5
2943934,2
123237,5
1549599,5
3861506,3
3846152,5
5222738,5
4004261,4
2722120,4
1764305,2
4922228,1
1527398,1
4579108,4
833468,5
3809005,5
3808884,5
4288213,4
3477663,5
3446756,4
2191932,4
3130783,4
312056,4
4029330,3
1912800,5
3833347,5
1024565,5
3543261,1
2427402,5
1963045,5
2520396,5
3336480,2
2430418,3
3772565,1
1738206,3
2201656,5
4477403,2
48696,5
2710439,5
1157066,5
3181104,5
2028211,4
1212123,5
2355979,1
2768368,2
1991858,4
690215,5
4380232,1
2396231,5
4991602,5
453323,5
1026490,4
4223901,3
1343025,4
4256583,3
478790,1
1324781,5
3173530,4
1296700,5
3956370,5
4203797,5
1208386,4
2986806,4
2086843,5
3571717,1
1560718,5
262900,1
2388097,4
4342544,3
1451678,5
2155605,3
4702390,1
1025793,5
2144176,5
3243867,3
1168975,4
1545352,5
457519,5
2116481,5
1280081,5
4321165,2
2043338,1
3155685,5
5113612,4
3459881,5
4789111,2
4786753,3
4383351,5
4684592,1
1740400,3
540046,5
2199688,1
2251333,1
2135397,5
4351984,1
4769693,1
3129066,5
2892839,5
2912322,3
2296064,1
4562000,1
3858247,2
3738954,4
2042851,4
5108598,4
2510426,1
1557445,1
3962722,5
2973720,5
5083641,2
557687,3
1335323,5
930377,5
3705488,5
2686974,5
898066,1
947356,1
3210660,4
5114326,1
1506771,5
4980550,4
1056960,2
1518711,1
4621398,4
4115426,5
4223620,5
1172697,5
3935394,1
205176,3
4232654,5
544620,1
4470886,5
3955774,3
3839922,5
248877,2
4379724,4
731477,2
3394778,1
1015940,1
5144103,1
2843610,5
4910484,4
1334710,1
405094,1
4092382,1
1825063,2
513964,3
1232752,4
2070358,4
1879029,1
3643987,4
3514872,1
3491007,4
4662297,1
370184,1
3775024,1
5163325,4
4835876,5
2885500,3
3696084,5
5250709,5
3772557,5
228240,5
4956806,5
3045391,4
3634524,5
2507376,1
2794786,4
2932840,1
422167,5
359580,3
852626,4
1344200,2
3749042,4
353791,2
2587102,4
1899943,3
1325021,5
1953932,5
1067209,5
275700,5
3713063,5
740827,4
760844,5
1788252,5
3370670,1
360826,5
3856698,5
3698387,3
4329751,2
1041666,2
1534955,3
2913723,4
3740833,5
4676430,4
5208996,5
3764081,5
3555089,1
2066372,5
832252,5
1637494,5
2437188,5
863252,5
3744236,5
1342382,5
3952914,4
2139917,5
4175516,5
1599731,5
2008597,1
2614088,5
5127517,1
4962898,3
4187093,5
2504963,4
4730865,5
5202189,3
1486041,5
4916059,4
5211252,5
5047103,1
3053460,1
373830,2
1531401,4
1019151,5
2064566,5
3202058,4
515926,5
1765131,3
4234659,5
4326296,3
1159520,5
907230,3
3802308,5
935061,3
425638,5
2747072,2
399434,4
3612730,5
1134356,5
4497639,4
4324971,5
3909213,5
5204905,5
1257566,5
433758,2
4283326,5
668363,3
1788327,3
2849673,4
1749112,1
3536618,5
4332470,4
3625552,4
430482,5
335653,2
3844652,5
3142716,4
983010,4
1160610,5
683816,5
1340046,5
1455637,5
1287007,3
3366616,5
1719753,4
4993656,4
5229566,5
1504409,5
3353200,5
2132038,5
1766672,5
4276621,5
3377501,5
3816900,1
4311648,4
38881,5
2408053,5
4929933,5
2261933,4
5084240,5
1564303,5
1659643,4
4229658,1
2454752,5
4577436,5
5008991,5
1992208,5
2775885,4
9200,1
174393,5
4553093,1
390062,4
5105068,1
2237282,4
961221,5
778756,5
4472804,5
2896665,3
4421031,1
931414,5
1650389,5
1214111,2
2776639,2
2570279,2
3973737,1
3019858,5
2545067,4
1318225,3
1282196,1
4745125,4
2599670,4
4705129,1
3619406,4
134878,3
4703583,5
4834774,4
5006509,5
3928760,5
796771,1
646680,3
4633073,3
353401,5
5149195,4
3758620,1
3981894,2
2115402,5
2815856,4
595953,1
2935864,1
3657332,3
2722883,4
1473811,4
1585771,1
4351957,1
2833747,5
183146,5
957568,4
3245811,5
2577476,1
4441988,3
3116989,5
1282600,5
2461371,2
220987,5
4538764,5
182766,4
605130,3
4971619,5
2128093,4
5209722,3
4943555,3
4816668,4
620555,4
3177807,4
387570,4
293927,2
2205337,4
3961209,4
1074296,5
121865,5
4275758,5
214033,1
1758603,5
1280465,5
3450861,1
5239203,5
2042865,5
4575043,1
401101,1
1814234,4
1655025,4
4818390,4
2733558,5
4326409,3
4659593,1
185481,5
3093946,4
2172474,1
2240719,4
4281124,5
2935960,5
2031963,1
3342333,3
2540457,5
4749022,1
3862384,2
361463,2
4080774,2
1402261,4
2195438,5
384243,5
864817,5
4020223,3
238499,1
3343678,3
4219476,5
4334760,1
3654741,5
936683,1
2108412,2
713357,2
1838566,4
2298063,5
4908259,1
3180150,5
4610693,1
3530592,1
4194951,5
3760312,5
601022,5
1983453,4
3779113,3
1411939,5
1054244,5
5001390,5
1968336,3
2618440,5
1442527,5
2814316,5
3422484,5
4905864,1
2586336,3
4879283,5
469131,4
1542948,5
3830438,5
1567888,5
798326,3
4530913,2
1006397,2
469161,5
1885899,5
3866771,5
2100844,4
1304516,5
609058,2
4051931,5
2651377,3
2180094,2
4952594,5
1574186,4
4745122,4
4256228,3
993934,5
411756,5
4089267,5
837969,1
2430476,1
2761153,2
1606238,5
4170692,5
231663,5
2598962,4
1614856,1
4898158,5
1417530,1
4466663,4
4851487,5
1414457,5
347614,3
3943380,5
4047073,4
4409725,1
4436421,4
320488,4
2601301,5
3640890,3
2094770,5
3759366,5
457966,4
1245169,2
1465570,4
4828225,3
1553310,5
3692601,1
4155862,5
4863885,4
2891841,4
509827,4
3262055,3
1932253,4
1655346,5
1173114,5
3980363,5
807111,5
1206760,5
833517,3
467312,5
4518918,5
2651803,3
3693992,4
1800176,5
5109401,5
2383535,4
4639922,5
3024758,5
4011868,5
3750591,5
988364,5
2558142,4
1551998,4
1897451,5
3005047,4
4691021,5
419211,5
3030017,5
3601004,5
3499975,5
1896731,5
1971638,5
3484791,5
2832323,5
715996,4
2708250,3
1143114,1
2888287,5
3098056,1
5048889,5
4107838,2
3229164,5
1233796,5
1604100,1
3381441,4
613262,4
933971,5
661243,5
1303418,4
4987932,2
1812185,1
395425,5
3950431,1
2548133,5
3014839,4
2279158,1
1481558,2
1440741,5
3865681,1
1691285,4
5053466,5
2007771,3
2938335,3
1650927,3
4893777,1
1812456,5
1778552,4
1775313,3
1089232,2
214587,5
3945580,4
2539867,1
4824218,5
892144,5
4723600,2
2908787,5
1461939,4
999040,5
3761052,5
634579,2
2842849,5
805922,2
3481020,5
2563908,4
1596639,4
1162082,3
2804015,3
3528035,3
999530,5
1750447,5
1161600,4
3872236,1
5058709,2
3959023,2
3536707,4
2677640,1
3814063,5
3035396,1
896518,3
3525974,4
2727003,4
1073840,4
1769054,1
3400447,2
3712402,1
3627608,5
920417,4
108412,2
2246804,1
1566614,4
4523943,5
3559959,5
1024524,4
96787,4
2496892,4
161101,3
4812550,5
1312235,4
2721010,5
2841734,4
3524225,5
2617438,4
259265,4
4122841,4
258366,4
3004804,5
172057,5
3504552,3
2592171,1
4747942,5
1780872,5
4086571,5
3481356,3
1102970,5
841257,5
2834416,5
2982348,1
2671891,5
155503,5
4322114,3
180283,2
3039477,5
936439,5
1474243,5
5123150,1
2544459,2
4190788,3
2346712,5
4157044,5
184734,5
798671,5
2793837,4
5109020,5
2053538,3
1849324,3
4629548,5
1547362,4
2939019,4
3669971,5
1609606,5
2796308,1
2399776,5
956052,5
5213069,2
2083514,1
2014257,5
741992,5
865073,5
1477964,2
3172768,4
3392463,2
4408904,1
5257951,4
5116198,5
3879645,4
1723875,5
902354,5
2966350,5
2490740,5
4888533,1
317944,1
3039073,1
3027529,5
1942749,1
